,size,floyd_time,djikstra_time
0,5,0.00021791458129882812,0.00011563301086425781
1,10,0.0014758110046386719,0.0006692409515380859
2,15,0.004971981048583984,0.002217531204223633
3,20,0.012235879898071289,0.004555463790893555
4,25,0.023595094680786133,0.008138656616210938
5,30,0.04042243957519531,0.014119863510131836
6,35,0.06203889846801758,0.02275991439819336
7,40,0.09373092651367188,0.03464651107788086
8,45,0.13226842880249023,0.05590963363647461
9,50,0.18740081787109375,0.07065582275390625
10,55,0.24342727661132812,0.09738278388977051
11,60,0.3177511692047119,0.13195061683654785
12,65,0.40737318992614746,0.16898703575134277
13,70,0.5160706043243408,0.21213269233703613
14,75,0.6164169311523438,0.27485084533691406
15,80,0.758371114730835,0.3437793254852295
16,85,0.9126708507537842,0.40404534339904785
17,90,1.0819816589355469,0.49724674224853516
18,95,1.3143062591552734,0.6008198261260986
19,100,1.4472181797027588,0.7082507610321045
20,105,1.682537317276001,0.8521468639373779
21,110,1.9296090602874756,0.9873349666595459
22,115,2.1945059299468994,1.159395694732666
23,120,2.531238555908203,1.3588948249816895
24,125,2.937011957168579,1.6022090911865234
25,130,3.336472511291504,1.844801902770996
26,135,3.5816755294799805,2.0019781589508057
27,140,3.9377245903015137,2.2773332595825195
28,145,4.425050735473633,2.6071200370788574
29,150,4.8671534061431885,2.9167873859405518
30,155,5.345655918121338,3.252185821533203
31,160,5.9037370681762695,3.6252360343933105
32,165,6.475707054138184,4.06502628326416
33,170,7.193753719329834,4.559568643569946
34,175,7.860632658004761,5.113988399505615
35,180,8.648352146148682,5.574055194854736
36,185,9.179215431213379,6.114711046218872
37,190,10.091868162155151,6.7477028369903564
38,195,10.913410186767578,7.404094696044922
39,200,11.770575046539307,8.067473411560059
40,205,12.477408647537231,8.860924482345581
41,210,13.497023582458496,9.636858701705933
42,215,14.616110563278198,10.543774604797363
43,220,15.80953598022461,11.438356161117554
44,225,16.50388789176941,17.70312762260437
45,230,17.923248767852783,13.413407564163208
46,235,18.630016326904297,14.487525701522827
47,240,20.388115167617798,15.754184484481812
48,245,21.14311194419861,16.891899585723877
49,250,22.891350030899048,18.25195550918579
50,255,24.354196071624756,19.51495671272278
51,260,25.81511116027832,20.99774479866028
52,265,26.994589805603027,22.592154502868652
53,270,29.00995635986328,24.188984632492065
54,275,30.01180410385132,25.87708306312561
55,280,31.901841163635254,27.618422031402588
56,285,34.06967329978943,29.42912483215332
57,290,35.731738328933716,36.661614656448364
58,295,37.94008755683899,33.43052649497986
59,300,39.76609539985657,35.60883545875549
60,305,41.60703468322754,37.809264183044434
61,310,42.778196573257446,40.18250608444214
62,315,45.8929238319397,42.938520431518555
63,320,47.681577920913696,45.080822467803955
64,325,50.185731172561646,51.04101848602295
65,330,53.72977113723755,50.611939430236816
66,335,54.3918251991272,53.543529748916626
67,340,56.39083909988403,56.388596296310425
68,345,60.21545124053955,59.8669970035553
69,350,62.75309777259827,63.03012037277222
70,355,69.83677244186401,66.78608894348145
71,360,68.65167999267578,69.95843839645386
72,365,71.33322429656982,73.6846284866333
73,370,74.98780655860901,77.58490991592407
74,375,77.14071941375732,81.69947814941406
75,380,80.75036954879761,85.92756462097168
76,385,82.9097261428833,91.23480749130249
77,390,87.72031903266907,94.55003571510315
78,395,90.56134390830994,100.99443888664246
79,400,93.50821352005005,103.97337698936462
80,405,99.00324606895447,109.06230783462524
81,410,100.71553707122803,118.77986216545105
82,415,104.78513431549072,119.18869709968567
83,420,108.82051086425781,124.83236503601074
84,425,116.56835746765137,130.48091793060303
85,430,115.47476625442505,136.3964648246765
86,435,120.58185052871704,147.16010856628418
87,440,123.69958233833313,148.40496110916138
88,445,128.2423017024994,160.2206256389618
89,450,133.2126545906067,161.69755148887634
90,455,138.87344646453857,169.0755033493042
91,460,143.3073046207428,176.4692256450653
92,465,148.08173322677612,183.28127431869507
93,470,152.1577343940735,190.74106526374817
94,475,160.20738697052002,198.0326600074768
95,480,160.71800136566162,206.4974446296692
96,485,168.96963357925415,214.70103549957275
97,490,171.10046195983887,228.2426562309265
98,495,174.6705105304718,231.6727876663208
