,size,floyd_time,djikstra_time
0,5,0.00019669532775878906,0.0002987384796142578
1,10,0.001436471939086914,0.0015418529510498047
2,15,0.004828214645385742,0.0045926570892333984
3,20,0.017242908477783203,0.015138626098632812
4,25,0.02374100685119629,0.020040273666381836
5,30,0.038877248764038086,0.03395581245422363
6,35,0.05885910987854004,0.04844379425048828
7,40,0.09663152694702148,0.06951689720153809
8,45,0.13161396980285645,0.10711526870727539
9,50,0.16750025749206543,0.14890527725219727
10,55,0.23395395278930664,0.2034165859222412
11,60,0.30521202087402344,0.24413323402404785
12,65,0.4139068126678467,0.3203012943267822
13,70,0.4905061721801758,0.39910340309143066
14,75,0.5944721698760986,0.4767122268676758
15,80,0.7283105850219727,0.6153147220611572
16,85,0.8504114151000977,0.7287161350250244
17,90,1.0031979084014893,0.8637385368347168
18,95,1.1720452308654785,1.105818510055542
19,100,1.3964884281158447,1.2827913761138916
20,105,1.5913758277893066,1.5531949996948242
21,110,1.8513846397399902,1.7353811264038086
22,115,2.153082847595215,1.9851744174957275
23,120,2.4227683544158936,2.2309141159057617
24,125,2.7103402614593506,2.620192289352417
25,130,3.094440221786499,3.093533515930176
26,135,3.4108123779296875,3.5827558040618896
27,140,3.7703123092651367,3.9644362926483154
28,145,4.288513660430908,4.414272785186768
29,150,4.697497844696045,5.005691289901733
30,155,5.161558628082275,5.7460222244262695
31,160,5.673242092132568,6.08757758140564
32,165,6.161405324935913,6.813262462615967
33,170,7.08976149559021,7.872651100158691
34,175,7.4843220710754395,8.610443353652954
35,180,8.114954471588135,9.303224086761475
36,185,8.80245304107666,10.479987859725952
37,190,9.400813341140747,11.384334087371826
38,195,10.026268243789673,12.242806196212769
39,200,11.096197366714478,13.268730878829956
40,205,11.919741153717041,15.164738416671753
41,210,12.895170211791992,16.836732149124146
42,215,13.524914026260376,17.791996240615845
43,220,14.888019561767578,19.373037338256836
44,225,15.647826194763184,20.60196566581726
45,230,16.643756866455078,21.9260470867157
46,235,18.19214916229248,24.028706312179565
47,240,18.783637762069702,26.080289840698242
48,245,20.373424291610718,28.606184720993042
49,250,21.38289523124695,30.89300799369812
50,255,22.847339153289795,32.92472743988037
51,260,24.232003211975098,34.87962579727173
52,265,25.790636777877808,37.91704797744751
53,270,27.19502282142639,40.13201284408569
54,275,29.41199827194214,43.551795959472656
55,280,30.983936071395874,45.49698805809021
56,285,32.666187047958374,48.70961284637451
57,290,33.905516386032104,52.5147066116333
58,295,35.94405698776245,56.326904296875
59,300,37.86156725883484,59.321391105651855
60,305,39.49710011482239,62.342223167419434
61,310,41.09251308441162,66.091228723526
62,315,43.92068648338318,69.86635041236877
63,320,46.2237446308136,75.99809169769287
64,325,49.09385371208191,80.80338859558105
65,330,49.8123517036438,84.19063425064087
66,335,51.674545764923096,88.61487770080566
67,340,53.6394829750061,95.87187433242798
68,345,56.17202377319336,98.66496205329895
69,350,58.517911434173584,105.18284916877747
70,355,62.00134539604187,111.8107635974884
71,360,63.8599317073822,117.49944376945496
72,365,68.2673716545105,121.60882425308228
73,370,70.60935497283936,130.1114945411682
74,375,72.51916408538818,136.61939549446106
75,380,75.09039235115051,138.42521500587463
76,385,84.24723982810974,149.4742350578308
77,390,83.40540838241577,149.03470158576965
78,395,87.55843424797058,170.17937874794006
79,400,90.3266179561615,174.44916582107544
80,405,92.06139302253723,187.2360987663269
81,410,96.78694224357605,191.3892457485199
82,415,98.09548115730286,201.07889485359192
83,420,103.14198327064514,209.42892956733704
84,425,106.59182906150818,218.199862241745
85,430,109.1983232498169,226.90432262420654
86,435,114.5903971195221,238.27424263954163
87,440,117.60165286064148,249.09583926200867
88,445,125.41133427619934,259.0624213218689
89,450,128.63894891738892,270.72937297821045
90,455,131.71507477760315,277.1648094654083
91,460,135.37877082824707,291.75520944595337
92,465,138.81668996810913,301.82958364486694
93,470,143.10748624801636,313.05792140960693
94,475,147.83363723754883,332.98033022880554
95,480,156.6501486301422,346.7719511985779
96,485,157.24595499038696,344.317551612854
97,490,162.34292316436768,373.09466886520386
98,495,168.7081847190857,391.86862874031067
